SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Bitcoin,BTC,2013-04-29 23:59,147.4880066,134,134.4440002,144.5399933,0,1603768865
2,Bitcoin,BTC,2013-04-30 23:59,146.9299927,134.0500031,144,139,0,1542813125
3,Bitcoin,BTC,2013-05-01 23:59,139.8899994,107.7200012,139,116.9899979,0,1298954594
4,Bitcoin,BTC,2013-05-02 23:59,125.5999985,92.2818985,116.3799973,105.2099991,0,1168517495
5,Bitcoin,BTC,2013-05-03 23:59,108.1279984,79.09999847,106.25,97.75,0,1085995169
6,Bitcoin,BTC,2013-05-04 23:59,115,92.5,98.09999847,112.5,0,1250316563
7,Bitcoin,BTC,2013-05-05 23:59,118.8000031,107.1429977,112.9000015,115.9100037,0,1288693176
8,Bitcoin,BTC,2013-05-06 23:59,124.663002,106.6399994,115.9800034,112.3000031,0,1249023060
9,Bitcoin,BTC,2013-05-07 23:59,113.4440002,97.69999695,112.25,111.5,0,1240593600
10,Bitcoin,BTC,2013-05-08 23:59,115.7799988,109.5999985,109.5999985,113.5660019,0,1264049202
11,Bitcoin,BTC,2013-05-09 23:59,113.4599991,109.2600021,113.1999969,112.6699982,0,1254535382
12,Bitcoin,BTC,2013-05-10 23:59,122,111.5510025,112.7990036,117.1999969,0,1305479080
13,Bitcoin,BTC,2013-05-11 23:59,118.6790009,113.0100021,117.6999969,115.2429962,0,1284207489
14,Bitcoin,BTC,2013-05-12 23:59,117.4489975,113.4349976,115.6399994,115,0,1281982625
15,Bitcoin,BTC,2013-05-13 23:59,118.6989975,114.5,114.8199997,117.9800034,0,1315710011
16,Bitcoin,BTC,2013-05-14 23:59,119.8000031,110.25,117.9800034,111.5,0,1243874488
17,Bitcoin,BTC,2013-05-15 23:59,115.8099976,103.5,111.4000015,114.2200012,0,1274623813
18,Bitcoin,BTC,2013-05-16 23:59,118.7600021,112.1999969,114.2200012,118.7600021,0,1325726787
19,Bitcoin,BTC,2013-05-17 23:59,125.3000031,116.5709991,118.2099991,123.0149994,0,1373723882
20,Bitcoin,BTC,2013-05-18 23:59,125.25,122.3000031,123.5,123.4980011,0,1379574546
21,Bitcoin,BTC,2013-05-19 23:59,124.5,119.5709991,123.2109985,121.9899979,0,1363204703
22,Bitcoin,BTC,2013-05-20 23:59,123.6210022,120.1200027,122.5,122,0,1363709900
23,Bitcoin,BTC,2013-05-21 23:59,123,121.2099991,122.0199966,122.8799973,0,1374013440
24,Bitcoin,BTC,2013-05-22 23:59,124.0009995,122,122.8899994,123.8889999,0,1385778993
25,Bitcoin,BTC,2013-05-23 23:59,126.9339981,123.0999985,123.8000031,126.6999969,0,1417769833
26,Bitcoin,BTC,2013-05-24 23:59,133.8500061,125.7190018,126.3000031,133.1999969,0,1491070770
27,Bitcoin,BTC,2013-05-25 23:59,133.2189941,128.8999939,133.1000061,131.9799957,0,1477958233
28,Bitcoin,BTC,2013-05-26 23:59,136,130.6150055,131.9859924,133.4799957,0,1495293015
